Organization,Count,Relevance (y/n/unsure),Names,Categories,,also refers to
Southern Air Transport,11,y,,business,,
Space Force,43,y,,Government and administration,,
Space Force,19,y,,Government and administration,,
Stanford,80,y,,Research and education,,Stanford University
Starbucks,53,y,,Business,,
Supreme Court,110,y,,Law and law enforcement,,
Telegram,36,y,,Platforms and tech companies,,
Telegraph,21,y,,Media and Journalism,,
Terra,18,y,Communications,Business,,
Air Force,49,y,,Government and administration,,
Army Corps of Engineers,22,y,,Government and administration,,
Associated Press,66,y,,Media and Journalism,,
Associated Press,48,y,,Media and Journalism,,
Bill Gates Foundation,32,y,,NGOs and charity,,
Brooklyn Council of Arts,26,y,,Research and education,,
Catholic Church,83,y,,Religion,,
Centers for Disease Control,19,y,,Government and administration,,Centers for Disease Control and Prevention
Central Intelligence Agency,27,y,,Government and administration,,
Chinese Academy of Sciences,25,y,,Research and education,,
Chinese Communist Party,29,y,,Political organization,,
Clinton Foundation,69,y,,Media and Journalism,,
Daily Mail,37,y,,Media and Journalism,,
Daily Mail,25,y,,Media and Journalism,,
Department of Homeland Security,28,y,,Government and administration,,
European Union,41,y,,Government and administration,,
Federal Communications Commission,28,y,,Media and Journalism,,
Federal Government,21,y,,Government and administration,,
Federal Reserve,114,y,,Government and administration,,
Federal Reserve,34,y,,Government and administration,,
Financial Times,24,y,,Media and Journalism,,
Food and Drug Administration,28,y,,Government and administration,,
Gates Foundation,155,y,,NGOs and charity,,
Gates Foundation,38,y,,NGOs and charity,,
House Judiciary Committee,21,y,,Government and administration,,
House of Representatives,43,y,,Government and administration,,
ID2020 Alliance,48,y,,Platforms and tech companies,,
ID2020 Alliance,21,y,,Government and administration,,
The Independent,11,y,,Media and journalism,,
International Criminal Court,28,y,,Law and law enforcement,,
The Johns Hopkins Center for Health Security,31,y,,NGOs and charity,,
The League of Liberty,247,y,,Political organization,,
National Cancer Institute,27,y,,Government and administration,,
National Guard,56,y,,Government and administration,,
National Guard,20,y,,Government and administration,,
National Institute of Allergy and Infectious Diseases,58,y,,Government and administration,,
National Institutes of Health,46,y,,Government and administration,,
National Vaccine Injury Compensation Program,19,y,,Government and administration,,
National Weather Service,21,y,,Media and Journalism,,
New World Order,126,y,,Conspiracy theory,,
New York Post,30,y,,Media and Journalism,,
New York Times,116,y,,Media and Journalism,,
Oval Office,23,y,,Government and administration,,
The Post,22,y,,Media and Journalism,,
Republican Party,27,y,,Political organization,,
Rockefeller Foundation,48,y,,NGOs and charity,,
Rockefeller Foundation,46,y,,NGOs and charity,,
Roman Catholic Church,22,y,,Religion,,
State Department,76,y,,Government and administration,,
Supreme Court,26,y,,Law and law enforcement,,
Trump Administration,10,y,,Government and administration,,
US Army,29,y,,Government and administration,,
U.S. Department of Health and Human Services,19,y,,Government and administration,,
U.S. Government,19,y,,Government and administration,,
U.S. Supreme Court,21,y,,Government and administration,,
United Nations,166,y,,Government and administration,,
United Nations,52,y,,Government and administration,,
the US Supreme Court,19,y,,Government and administration,,
Wall Street Journal,38,y,,Media and Journalism,,
Washington Post,86,y,,Media and Journalism,,
Washington Post,72,y,,Media and Journalism,,
White House,370,y,,Government and administration,,
White House,83,y,,Government and administration,,
the who,13,y,,Government and administration,,
the who,11,y,,Government and administration,,
World Bank,57,y,,Business,,
World Economic Forum,79,y,,Business,,
World Health Organisation,29,y,,Government and administration,,
World Health Organization,262,y,,Government and administration,,
World Health Organization,76,y,,Government and administration,,
Wuhan Institute,31,y,,Research and education,,Wuhan Institute of Virology
Tik Tok,18,y,,Platforms and tech companies,,
TikTok,38,y,,Platforms and tech companies,,
Time Magazine,27,y,,Media and Journalism,,
Time Warner,20,y,,Media and Journalism,,
the Times,95,y,,Media and Journalism,,
Tisch,18,y,Tisch School of the Arts,Government and administration,,
Toyota,23,y,,Business,,
TransDerm Inc,19,y,,NGOs and charity,,
Trilateral Commission,10,y,,Research and education,,
TV company,10,y,,Government and administration,,
Tylenol,37,y,,Pharma ,,
U.S. Customs,18,y,,Government and administration,,
U.S. Food and Drug Administration,11,y,,Government and administration,,
U.S. Marshals Service Missing Child Unit,11,y,,Law and law enforcement,,
U.S. Senate,21,y,,Government and administration,,
U.S. Supreme Court,16,y,,Government and administration,,
the un,1980,y,,Government and administration,finance,
United Nations,116,y,,Government and administration,,
United Nations,16,y,,Government and administration,,
"United Nations Educational, Scientific and Cultural Organization",11,y,,Research and education,,
United Nations Environment Program,10,y,,government and administration,,
United States Government,15,y,,Government and administration,,
University of Maryland,11,y,,Research and education,,
Univision,15,y,,Media and Journalism,,
US Army,11,y,,Government and administration,,
US Army,11,y,,Government and administration,,
US Department of Defense,11,y,,Government and administration,,
US Department of Justice,10,y,,Government and administration,,
US National Institutes of Health,16,y,,Government and administration,,
US Navy,18,y,Militar Force,Government and administration,,
US State Department,11,y,,Government and administration,,
US Treasury,11,y,,Government and administration,,
USA Today,58,y,,Media and Journalism,,
Vaccine Alliance,16,y,,NGOs and charity,,
Vanity Fair,17,y,Magazine,Media and Journalism,,
Vaxxas Pty Ltd,19,y,,Pharma ,,
Viacom,23,y,,Media and Journalism,,
Vimeo,40,y,,Platforms and tech companies,GAIA START,
Visa,68,y,,Business,,
Wall Street Journal,11,y,,Media and journalism,,
Walt Disney,43,y,,Media and Journalism,,merge with disney
Washington Examiner,10,y,,Media and journalism,,
Washington Post,56,y,,Media and Journalism,,
Washington Times,10,y,,Media and Journalism,,
Water Quality Association,18,y,Association,NGOs and charity,,
Weather News,44,y,,Media and Journalism,,
Welt,71,y,,Media and Journalism,,
WhatsApp,527,y,,Platforms and tech companies,,
WhatsApp,10,y,,Platforms and tech companies,,
White House,326,y,,Government and administration,,
Whole Foods,35,y,,Business,,
World Bank,44,y,,Business,,
World Economic Forum,24,y,,NGOs and charity,,
World Health Organization,80,y,,Government and administration,,
Wuhan Customs,10,y,,Government and administration,,
Wuhan Tianhe International Airport,10,y,,Business,,
Wuhan Tianhe International Airport,10,y,,Business,,
Xinhua,12,y,,Media and journalism,,
Yahoo,43,y,,Platforms and tech companies,,Yahoo News
Yale,86,y,,Research and education,,Yale University
Young Living,88,y,,Business,,
YouTube,22,y,,Platforms and tech companies,,
youtube,13,y,,Platforms and tech companies,,
